sample,order,type,batch,1-methylhistamine,2-Arachidonyl glycerol,2'-deoxyadenosine,3-deaazadenosine,3-IPA,3HK,5-Aminolevulinic Acid,Acetylcarnitine,Adenosine,Alanine,Anandamide,Arachidonic acid,Arginine,Asparagine,Aspartate,Betaine,Butyrylcarnitine,cAMP,Carnitine,Choline,Colchicine,Creatine,Cysteamine,Cysteine,Cytosine,DMGV,GlucosePos2,Glutamate,Glutamine,Histidine,Î±-keto-Î²-methylvaleric acid.1,Î±-keto-Î²-methylvaleric acid.2,Isoleucine_Leucine,Kynurenic acid,L-Homoserine,Methionine,Phenylalanine,Phosphocholine,Proline,Riboflavin,Serine,Serotonin,Spermine,Taurine,Thiamine,Threonine,Thymidine,TMNO,trans-HYP,Tyrosine,Uridine,Valine,Valine-d8
175,161,S,2,18106059,71345.612,47271.347,23533.21,145908.157,15482.6,17733.569,127182934.9,1025623,5467204.6,56737.535,98750.45,21621134.95,902305.67,123106.66,92967805.3,48731.5,57629.57,136141264.5,1226449.12,622.2256,1438920.1,31856.362,5224.9278,563345.25,267137.4,16088900,3071433.62,1132931.079,17557349.5,17073,306196.5,88426597.7,771804.802,1362811.448,3228504.519,56520509.31,1234866.2,112544109.6,349571.876,298953.5,9385.833,8166276.4,6253632.83,10559.2585,2259185.01,11263.203,34044990.17,893680,13664380.55,1135850.064,31450120.8,3569531
176,162,S,2,18520876,146267.238,5852.196,22405.37,142318.041,12522.8,41721.989,108776976.2,910424.7,4341133,42504.986,106000.64,26223693.84,1093305.99,130856.46,88127164.9,39509.08,775082.51,153603411.5,926609.07,811.6798,2058700.9,92932.686,7223.2518,642232.66,225755.69,16084442,2486225.98,1021586.151,27854419.2,16605.54,448368.7,87844342.7,928566.624,2413616.86,3090563.292,58007944.23,1182857.9,120968174.4,116605.056,429466.4,18437.936,5654618.67,4716165.05,5356.962,4233179.69,8486.66,7045803.36,1243671.4,10054397.11,1411812.678,33393686.2,3435710
165*,163,SR,2,17971105,144734.359,4530.136,28357.44,144120.503,13345.03,48519.052,135558447.5,841403,2585463.3,58158.443,100141.17,14282710.05,772135.83,88205.81,95957585.4,61761.15,113424.86,135249824.7,1017042.4,635.4065,1572466.4,138215.272,2990.8576,599490.08,60496.82,14536904,917882.22,731018.176,30937773.1,23911.4,379040.6,71665117.1,1417607.336,907092.135,2145347.06,65097304.57,896330.4,84817080.7,523098.45,177063.5,8763.977,4784716.9,2678049.31,2133.0825,1529487.72,9432.54,13662739.65,948919,10557996.86,2344227.262,25190101.7,2958835
178,164,S,2,18090075,81188.954,5313.486,21576.88,66992.145,11246.16,47778.391,149387723.9,805502.1,3785752.6,35698.384,87405.91,32326264.58,1165301.43,111904.21,92970975.6,47250.93,63219.96,159113465.5,981974.86,760.3441,1683711.7,45343.13,7045.9742,466599.93,78136.15,12946437,2027428.68,1271607.916,27316429.1,22834.62,459459,67520273.5,818393.536,2298785.932,2458151.433,55783133.07,1289984.7,117048180,110706.264,325981.8,15310.656,7048773.63,3673534.62,9555.523,4056068.53,8074.33,10824909.71,1061583.9,11878228.69,1436345.982,24057306,3522995
179,165,S,2,18648483,109862.581,8996.914,25398.86,44129.692,13258.63,158044.15,133138481,1495622.3,4629276.1,48611.199,101219.85,25335322.52,992113.66,131724.8,81945033.7,74921.27,92873.31,153267541.2,1085278.25,1030.1297,1382046.7,17151.07,5402.3329,433087.61,430298.34,14648734,2128244,1020207.515,28137991.6,17165.12,522036.2,115702795.5,1549734.504,1574473.216,3201594.892,62037911.91,1198589.3,118177574.1,395000.268,354607.4,10836.839,7593012.02,3869335.13,8039.2303,2870954.21,10774.984,37854325.64,795247.3,14054767.7,1013437.794,40097399.7,3562453
180,166,S,2,18119963,108454.962,5801.33,25751.97,109994.534,13208.24,39944.026,143796609.7,783066.8,4001111.6,51715.683,117174.92,20574621.75,1036037.36,84763.89,79060189,47667.92,85233.48,148263925.3,924816.02,791.2857,1444826,44263.924,5485.5318,507287.46,108148.22,14275929,1271494.84,881171.467,27008708.2,21843.64,349599.7,94753347.2,1096833.438,1596395.704,3198482.018,48238579.87,1326580.6,119635906.1,230048.472,374222.4,12862.116,5638514.47,3529987.94,7977.0303,2886234.38,9534.335,10822303.18,799447.6,7365683.02,1449884.112,27841437.4,3317901
182,167,S,2,18280567,191464.233,5109.152,37698.67,69819.286,16349.37,96592.138,148471110.8,921685.6,3447145.2,93169.538,162401.83,7756006.4,838272.77,332436.36,82016919.5,78005,64417.45,142432877.1,1321834.26,758.507,1949499,31228.142,3568.4,204311.42,139510.18,14551020,2102785.66,676812.988,27311640.8,21220,430428.4,71543987.9,1933485.404,1614097.623,1788269.698,61833551.94,4096319,117790869,184430.036,201379.9,4787.567,5568779.12,8090576.51,5869.7747,2480859.73,9282.192,39761787.08,1302109.7,13270431.16,1756872.204,27125084.3,3425562
184,168,S,2,18199583,117820.899,4936.29,22031.09,105227.414,16115.53,53330.128,142456929.5,806466.1,4022597.1,69665.107,94229.27,13558397.88,924601.48,195846.35,86354655.4,48718.36,44085.24,158970706.1,1375882.42,792.798,3188749.2,40442.464,10559.2937,318077.32,112884.72,14394958,2655620.1,896907.796,20292095.7,38173.55,373350.1,84691043.6,871695.046,1880043.288,2965904.176,48797241.68,4143610.4,108898326.1,262438.946,335804.7,5320.042,5819737.97,4547675.92,6711.5038,3285228.93,8621.716,15198369.74,1794821,9223094.03,1760512.112,31334635.2,3405032
Pool,169,QC,2,18010338,121452.611,5370.71,36800.3,96217.701,14757.57,49609.678,141257153.5,991605.4,4546872.9,72079.487,102646.97,20530292.46,995609.88,114390.85,80144510.4,63966.74,179124.2,158333935.1,1095142.39,2248.0608,617060.1,56012.608,6013.9695,489160.89,320271.58,14857003,2312995.9,1126719.123,25228272.4,19141.39,390049.4,89456603.8,975428.072,1945153.744,2808808.832,57532642.76,1134150.7,119633050.6,509307.056,322537,12541.002,6300601.13,2637612.88,13516.556,3282914.13,9249.228,22588149.31,409362.8,11570462.82,1551101.874,30140443.5,3374352
185,170,S,2,15162299,126154.013,9277.556,28182.18,85502.367,11577.04,38919.385,133992122.5,977916.7,4407883.6,115272.048,102098.24,16048525.37,900480.37,182986.36,110628809.3,35610.78,51655.52,143060942.2,1545516.04,1026.9522,1380169.7,124353.338,7216.3288,256693.09,420163.78,14896922,5199476.55,1001068.621,24933386.7,22364.59,340947,71117910,2156889.438,1614742.272,2634671.753,55991056.81,1300398.3,116388609.4,5133228.342,286244.1,7930.427,6482722.77,6269678.52,37098.9725,2669226.41,9125.773,15818646.15,935193.2,12128778.16,1294552.47,24118944.5,3204559
186,171,S,2,16812793,65172.971,3590.182,20358.4,74783.515,18157.15,56269.405,137821497.5,1270926.3,5359060.6,75865.906,71900.38,14272138.02,1191128.82,161751.18,97769485.6,62191.54,735212.05,157469110.6,1159362.67,717.3858,1323921.5,22359.584,6669.6499,421907.29,486769.3,15762544,3984943.3,1180607.837,34011573.5,18707,475104.2,102987480.8,1271720.432,2376313.7,3390420.546,75650941.47,1225884.1,119524964.3,648628.138,297535.4,10244.765,6611092.85,5132503.38,114648.5585,3735635.61,8366.995,13864351.68,777192.4,14457157.74,1106378.234,29484929.6,3189878
174*,172,SR,2,16365311,206208.885,4347.317,26951.95,15250.311,12355.15,41673.194,138625216.7,2195185.9,4056680.1,53878.529,137898.34,32210387.13,1054318.74,254655,85131258.2,47283.85,70207.59,154166586.6,1081183.64,637.3218,1254958.2,14436.106,5595.2418,428574.69,348436.94,16182991,3529432.91,1093121.066,21627178.5,18452.11,349196.5,88853574.6,843191.058,1791462.104,2658444.469,54436493.55,1269513.8,124640263,71504.316,305527.1,19130.41,4866895.64,19745679.6,6058.0165,3262831.47,6852.484,1868106.41,756885.6,9376673.96,1340777.022,32002905.7,3337393
187,173,S,2,17616637,132085.129,3550.898,25568.94,105924.603,11344.15,43010.426,145496576.7,1002208.8,5717895.6,67137.137,123635.53,17601304.48,1006209.08,633013.27,82701997.8,74374.2,73270.67,156222794.3,1396788.12,855.6837,1267568.9,22039.392,5121.4269,108822.67,430734.05,14240833,8172507.14,1000530.561,26466206,19158.27,448327.8,98422365.6,1053722.988,2360884.904,3530940.607,77996851.63,1296628.5,122187152,174053.795,409416.2,9117.536,6728237.57,7223473.18,6399.1775,4364877.99,8668.578,19916224.64,710927,12883353.39,1506403.056,31482451,3089138
188,174,S,2,16647342,188870.324,5436.81,27263.34,23642.723,12029.08,61912.02,146764707.6,814016.2,5678237,60279.306,120040.62,32782306.2,942144.37,165431.96,94681299.6,46347.23,80813.76,155576634.1,930905.48,772.962,1369161.5,13526.728,7836.5563,580982.75,389482.87,13910274,3978460.58,1172494.677,23589159.8,20697.7,466288.3,84240722.4,1151548.074,2693905.576,3014058.752,61732463.07,1490230.6,113270381,215722.25,315156.8,16727.572,4111985.97,2634906.86,6920.7005,4527987.01,10666.28,6482049.21,747823.5,10294323.07,2760467.24,39191185.5,3661706
189,175,S,2,15419455,89728.081,4873.036,19627.03,71816.333,12799.74,39916.794,130713732.3,839887.3,5321072.2,36853.995,73606.81,28755164.66,1153996.67,224073.38,83083517.9,58751.6,67977.86,163012001.4,701425.97,727.1434,1030225.2,110819.086,5645.285,457177.6,191186.63,16421651,3593788.96,1417391.208,29503366.1,18096.35,423618.4,80657008,648433.926,2067472.167,4009226.792,66707631.23,1473792.8,122600480.8,342695.58,332449,13889.612,4744676.61,3457957.68,5534.177,3799108.6,8328.884,4620134.68,665714.4,17790914.56,1211528.672,38003887,3887452
190,176,S,2,17174605,133038.151,5296.362,24144.69,108803.182,11680.56,51225.002,137059852.8,1055653,5253479,65314.353,107644.29,32966521.73,778395.52,487927.97,87050236.6,42918.12,76496.23,155344594,1204242.53,833.4193,1365184.6,15745.164,4334.584,348294.78,443950.46,13851547,4688012.18,995480.618,24177106.6,23103.26,450219.6,94213617.2,979797.764,2059931.968,3321309.054,69640691.41,1406678.9,123831513.7,824552.854,281835.8,18441.674,5839282.22,8217259.58,13482.1335,3364343.46,9066.747,21372478.88,805853.3,13158619.74,1044915.464,34392954.4,3270455
191,177,S,2,18532582,146185.925,6341.653,23176.04,27309.731,12201.28,102952.701,147844135.1,1173293.6,5324389,125376.383,145943.2,16415588.97,1340471.6,535275.63,85922412.5,87589.29,79503.86,160401056.7,1670719.14,824.4278,1020012.1,12516.402,5551.6619,225086.84,237009.27,13943636,5468861.24,1082105.894,32619271.4,19936.69,486614,118758150.5,1269038.958,2377577.805,3100742.33,68550383.98,1570435.9,125696663.6,163010.543,330732.9,9492.687,8049394.28,5617700.66,6859.761,4200414.66,9778.827,29496573.5,679430.7,14043383.13,1450669.68,44392255.2,3665673
192,178,S,2,29506606,130511.943,4345.173,25307.88,53118.509,11051.88,37727.211,149673592.7,969865.4,7659042.5,73633.773,112132.88,16451112.59,1899199.41,1506639.6,94584677.6,40871.22,50663.82,160803162.9,2773584.33,732.3671,904498.7,26486.922,5803.8043,566936.12,684515.72,15107515,11927208.65,1112313.342,41654376.1,45226.64,655265.8,126393754,887843.316,2549880.513,4102490.17,108228656.2,1638895.5,127117452.8,662611.775,721876.1,8469.634,7887836.49,13463276.38,20834.3287,4373770.34,8783.292,8377941.48,544738.5,13189096.77,3506608.177,42373232.5,3347462
193,179,S,2,17494065,105041.36,5134.108,24324.67,129804.08,11279.34,32265.295,136635105.8,995620.3,4072624,170262.016,94552.38,8809677.36,1140357.56,318183.37,83512774.7,54100.14,62907.89,157028547.3,1592614.94,716.5548,292164.3,63606.296,5192.1926,283162.17,217855.47,14994665,3286664.87,847907.002,24847850.5,25119.19,361333.6,118520651.4,887942.25,2196029.576,2760585,61979179.66,1596554.7,126151116.1,293392.618,344255.9,2827.52,8702587.05,3399174.11,6515.232,3841716.37,9577.222,22195524.17,224386,12433114.21,2296356.592,40781121.8,3357143
Pool,180,QC,2,17725683,112539.435,5779.384,35626.77,88441.195,14981.79,52200.657,141953174.3,901277.2,4354312.6,73786.846,97642.5,23907568.31,990556.99,166068.49,82388201.9,66771.35,180236.17,157763689.5,1073921.56,2324.2485,428061.8,52985.946,6723.8079,509818.33,324036.24,15482640,2677941.42,952895.018,29385354.8,20037.31,428733.2,90183706.2,960312.466,1931775.5,3043508.522,56558099.92,1218354.5,120665077,543024.703,362845.9,11556.934,6689768.02,2714236.94,11530.12,3292599.42,9534.744,18098179.92,319396.9,12048880.44,1587230.662,33223666.7,3369889
Pool,181,QC,3,18031407,278863.39,8337.532,96362.52,105469.622,17443.067,50548.646,147927260.4,1115785.1,4822003.2,75387.4,87565.02,28873709.56,1175543.51,131394.71,89240426,79098.45,291913.7,156304630.3,1118523.63,5716.335,1166432.1,47267.48,3434.2162,400546.93,223976.801,18929646,2243974.15,1286929.847,33382782,32318.09,344983.9,79619539.1,885670.034,1899433.338,2898528,64110937.7,4363976,126749842,688518.37,276405.2,16200.092,7373407.331,2617211,16485.881,3076331.31,37751.07,24126888.07,766041.9,13775410.13,1617446.81,30961576.8,3597762
Pool,182,QC,3,18880395,268316.25,7580.667,100597.28,96418.904,14470.962,43228.354,147419554.5,1031127.8,4956370.2,69763.54,96074.85,27901932.18,1147414.945,139416.37,101190002,79980.79,303969.5,145894952.2,949795.38,5391.875,1095178.7,43756.522,3213.9917,411811.96,225130.251,18498252,2396213.03,1078782.94,32061724.9,24967.81,343682.4,70112970.3,815089.014,1715143.573,2779961.677,61391641.7,4230392,119833725.2,599513.6,676247.6,13858.81,7188250.204,2589214,14610.885,2931564.56,33933.47,20370039.04,641085.1,12245551.39,1603011.89,30467963.8,3290767
Pool,183,QC,3,18829614,262635.95,6529.346,99205.18,98701.819,14033.937,45490.924,151335787,922851.2,4590609.7,71178.01,89908.56,26599530.85,1184237.587,147105.75,100285606,74506.98,265705.1,159109280.4,975681.14,5345.153,913732,42616.872,3600.5684,403203.67,251056.248,18342139,2520176.07,1017004.237,32732418.7,25334.21,372740.7,70127384.3,775990.09,1759166.22,2532223.153,56055146.3,3934854,119519430.1,602449.72,284763.6,13342.85,7106985.345,2288941,14905.535,2952088.62,31415.45,19632908.59,584368.8,11549109.45,1485492.71,30846004.8,3297186
160***,184,BR,3,18902845,319868.13,6631.902,89359.31,9579.271,12534.852,11832.05,140423884.2,1138318.9,4477359.7,53275.61,99678.65,15297294.64,1167151.899,145254.37,97908575,49965.45,175788.5,152800599,1000069.45,4578.659,1727698,11661.71,4552.7261,301692.69,456550.731,18827831,2712550.92,1335287.361,28061021.8,18743.06,342358.6,64793258.7,654555.798,1934690.351,2328291.444,57868410.5,4156968,131138788.7,138626.56,277490.6,8361.379,5509905.892,6714883,5958.626,3310644.27,29897.46,5759089.571,946721.7,11814531.11,1336276.7,29418200.4,3186847
137***,185,BR,3,19576308,212512.08,7483.872,84182,71571.408,9500.899,70320.275,148418935.8,1341105.7,4887725,52341.87,54750.21,34863500.13,1286440.075,302382.81,96973101,81522.1,181701.6,154141273.8,733593.5,4792.248,1619217.1,28886.924,4113.36,373396.35,127332.777,17414976,2891260.43,1024322.99,23530806.3,23554.74,380495.5,51095965.1,315721.664,1805044.347,2024518.197,41076138.5,4457477,108348206.5,896035.34,354005.6,20444.105,5342661.379,11523470,6543.152,3243234.95,30755.64,5868609.251,971428.4,8401867.2,1704140.36,27004036.2,3320675
117***,186,BR,3,19519658,215995.02,5727.862,75825.15,29531.978,12800.279,58268.817,148277758,945093.3,4199058.5,52914.65,84525.54,26448997.14,1147954.798,114412.99,98406041,88102.73,332176.5,156020315.1,991668.66,4545.795,1475547.4,43561.654,4160.8962,418873.71,398621.569,18764013,2122282.21,959340.93,24744341,24366.55,349260.2,59808312.5,1066741.222,2013793.593,2231773.043,58011441.7,3933911,127622028.2,279765.61,290837.9,15839.013,5510887.539,4023403,19271.407,3490964.03,30366.37,9265663.538,936839.2,13241482.76,989597.36,22037301.1,3448338
138***,187,BR,3,19784676,207339.01,6651.421,91761.86,254143.499,13278.615,72446.152,135482237.5,1751593.8,4495437.8,95100.49,100547.55,26076752.78,1390275.757,255059.57,96341021,126024.34,217389.4,166708315.6,1218256.36,5066.8,1444492.9,103383.99,3375.6373,344319.78,738719.327,17868096,2960588.02,1088894.502,29659750.4,23271.56,344997.1,87587720.4,883491.968,2381991.955,3003481.88,64841517.6,3969713,136856658.4,831613.69,287983.2,11595.751,7450248.398,4532363,20705.151,3774040.63,31165.49,9186566.354,794340.9,13632597.46,880403.9,39085216.8,3371566
192***,188,BR,3,32881185,253339.75,3496.986,82605.96,52634.931,10987.325,38439.871,152151558.5,993364.1,7185702.2,81684.74,94453.53,19842951.07,2182526.463,1436314.86,99660905,63383.46,184159.5,158487863.4,2361872.41,4429.042,1603126,19156.982,4906.2902,388469.5,582338.149,16337810,10927640.43,1258195.339,42447242.4,48796.16,601438.8,112451183.6,701450.82,2276113.566,2861042.437,101513840.4,4108821,131001521.7,762820.27,613923.5,10532.097,8344045.618,13791580,22291.957,3885370.97,31053.36,7775104.953,964195.1,12440996.38,3232653.76,41781998.8,3860943
194,189,S,3,20129904,252361.57,11836.792,94336.83,101087.47,10237.431,28309.301,147677224.4,1193616.1,4197095.3,196548.77,98202.81,24687410.36,1086737.925,276077.04,94177898,66288.38,175098.5,146134297.9,1005862.74,4381.284,1685602.6,45242.926,3039.1015,243451.27,251100.858,15086285,2949706.01,1262655.928,27654511.2,27411.62,432591.9,74850615.4,590932.25,1361307.613,1985269.52,55970787,3505012,128703408.2,228161.37,231261.9,15778.894,7403645.071,4295635,5709.457,2213945.12,34456.73,20932927.5,1069326.8,9545746.88,1970907.45,29243170.9,3138566
195,190,S,3,19807632,238437.04,5790.656,92790.86,128151.435,12673.009,41159.43,134185588.2,1063799.3,3943754.4,97133.93,263861.65,23320164.07,1383229.176,267650.84,93695182,62835.26,213698.3,155554933.7,1192107.84,4896.914,1323266.3,22209.338,4497.0267,308179.11,128073.655,16771730,2741933.66,1192197.637,30475076.1,31637.55,372586,76465310.5,1013039.01,1926470.778,2514685.944,49411438.8,3198075,133407023.1,239095.97,219224.2,10721.922,6595391.492,4978682,8435.967,2854261.32,32091.15,5323644.923,876498.8,11340992.63,1541594.97,28671612,3359525
196,191,S,3,19941135,239382.86,7412.636,87746.43,20271.951,14359.049,24809.173,133752186.8,926843.8,4099548.3,68269.23,76074.91,30812403.42,754690.773,283436.06,95972456,72274.14,197313.2,135097772.5,711996.03,4294.354,1477190.4,14324.834,2192.5683,208555.81,366188.532,16491112,3600514.79,920174.973,21114078.8,22636.41,309143.3,79564184.4,587634.99,1409045.485,1983769.243,50489649.9,3541723,129554915.9,190937.57,211170.5,18603.396,5018338.925,4948105,4759.896,2460287.67,30866.9,2224961.362,861636.7,11509027.65,1718578.25,30743570.9,3201802
204,192,S,3,21033673,258822.7,8746.228,93574.07,64237.853,10913.669,60025.759,135389655.6,827425.8,4689134,64684.16,106240.21,24502635.81,1077607.052,140023.68,91810164,43819.85,203922.1,122363295.3,1073671.6,4950.052,1624035.9,45384.676,5257.7165,416815.85,111881.117,15872819,1665226.92,1004429.74,20965107.5,25898.19,398829.4,65782980.5,460665.626,2179137.697,2476946.46,54024015.2,3648691,92205350.9,528416.98,261703.5,11065.363,3044692.865,5520402,5001.917,3765126.12,32947.94,6453865.423,1066763,9547113.69,1188675.66,30265839.5,3585450
185*,193,SR,3,20176691,258124.39,8290.646,87156.34,82990.7,10183.916,32349.44,143269335.9,917179.9,4052492.4,104667.55,91411.31,18335607.61,1043221.757,211196.77,100640661,56166.96,190752.3,140667592.3,1304627.2,4598.814,2144330.7,92110.878,4981.183,178770.52,387177.341,16659643,5171834.64,1008276.15,21146664.1,26651.15,361307.3,59818854.1,1465368.422,1413146.984,2369391.51,56385774.7,3017928,114880271.1,5393476.92,256143,8422.217,6398717.191,6193670,31562.901,2420540.15,34374.68,8975914.344,1214851.7,12265927.14,1145500.23,25903319.3,3277522
Pool,194,QC,3,18805620,246132.2,5714.59,90270.72,90908.008,12615.114,35802.389,149137629.7,886574.7,4035431,75369.99,101342.88,25484172.56,1125052.869,146617.58,94825998,77904.87,301688.1,153364205,882733.28,5446.799,908406.9,38000.78,2881.8624,379107.67,296267.573,15412242,2486599.72,1113713.782,27595919.6,26572.64,388934.7,75098896.8,693372.54,1742620.786,2884493.147,55781205.6,3083463,123156719.5,608769.68,277899.4,19893.942,6272248.146,2290023,11561.953,2971778.93,31586.24,15684726.54,539884.5,12195058.92,1454392.62,29139989.4,3077844
205,195,S,3,19597660,269769.9,5188.722,86413.91,60948.628,13120.885,60563.107,135283061.1,724212.8,3781296.5,64021.69,97545.87,22067496.6,1068918.328,110190.86,96260444,59690.73,195766,142011278.9,537956.29,4312.47,1815779.5,95276.346,6393.1348,280966.5,59173.481,15528903,3310892.03,1251768.214,23288441.7,22565.09,328481.5,94272040.1,356009.74,1620043.681,2383749.807,47264273.6,2944127,123698845.1,180143.14,204053.1,8852.473,4725951.47,2455133,3025.791,2695287.36,32484.5,2799225.46,1121981.3,10866754.9,1304401.61,37161143.2,3477477
204*,196,SR,3,20215207,205205.59,8198.83,92542.45,69256.777,10471.905,50863.63,145081060,871839.5,4609162.5,62792.78,86479.61,26998815.51,1091602.623,117075.15,100003963,53256.96,179360.8,127952993,1032935.66,5315.853,2227720.9,48555.385,4172.0352,524816.91,99177.782,14971587,1762165.81,1199890.585,20467801.4,30178.63,396972.8,61312041.5,525831.884,2158513.791,2521419.946,56944786.2,3219609,103671340.7,514395.97,270459.3,11985.657,3089507.302,5654513,6339.135,3704613.39,31541.68,6327289.787,1202823,9736625.06,1142645.27,29040736,3573404
206,197,S,3,18838396,265877.41,3601.818,85653.94,46162.613,10290.473,36979.281,116005716.1,772383.4,5657450.4,78408.22,80114.89,27776139.3,1320192.373,140702.2,103235580,79330.16,221706.8,162897981.6,903872.22,4912.803,2545748.9,22476.084,3543.3245,338028.31,236714.177,15417789,3987971.82,1193412.391,23657140.1,25890.49,399805.7,85796083.1,842952.834,1988860.745,1911100.336,57361655.1,2807381,129358311.9,1048021.37,298125,15000.368,6194211.93,2510866,57924.469,3524047.6,32049.66,13510352.62,1497458.7,13034222.67,1710218.86,36550229.4,3557187
207,198,S,3,19426049,239687.41,9111.542,94274.43,28426.456,12104.24,46995.755,154733530.2,810744.2,4100267.1,59781.18,67170.37,34965966.39,1047384.643,85980.07,105305210,50208.43,321038.1,142689810.8,762167.43,4635.395,1963113.9,9664.266,4157.0967,237713.02,201867.925,15614277,1903443.78,1316642.699,23826122.5,26924.22,334953.3,57587032.9,367505.362,1277915.898,1912706.12,50455338.7,3066901,116160566,210170.58,280766,19312.099,6331696.417,3113660,9267.217,2339164.2,32662.74,2964524.278,1151237.9,9674872.36,1144256.32,23396633.7,3712024
209,199,S,3,18600066,216040.14,2921.414,87910.85,152376.785,11818.304,37244.255,139039959.9,739291.7,4537521.3,55299.8,63501.78,33385304.18,1126490.855,122502.06,99172333,112706.4,201964.3,162593476.3,682750.48,4907.712,1998569.8,39451.518,4891.0748,399514.16,303411.252,16194975,3698852.44,1195270.85,25701140.1,24162.04,344386.4,82103863.2,861451.448,2069812.143,2649129.116,50076157.9,2583553,132016643.5,100350.93,237711.2,15420.077,5851848.03,2306487,5567.247,3734943.88,32950.52,6137550.824,1441326.8,11681189.65,1584485.2,35157102.5,3434872
210,200,S,3,18584009,230984.19,4814.942,88747.64,60255.294,26838.986,30262.527,134848544.9,728055.9,5043882.3,50636.45,57895.19,34063816.59,1091573.525,99308.51,87954457,69173.58,207699,137348172,740024.87,4509.362,1481810,16664.162,4021.2526,268993.79,201943.883,14457472,2198702.66,1069063.198,20550345.6,22132.21,405657.8,52349168.7,400839.118,1333801.222,1770562.82,50037894.6,2944864,119289532.9,233055.87,272033.3,17462.513,5547942.326,2408025,8909.55,2430517.54,31572.05,1657002.217,1090136.4,7848684.98,1598002.41,23948146.8,3269515
211,201,S,3,19092174,305753.56,5082.982,98043.28,29900.115,12220.187,65735.398,136302413.5,755454.6,4029688.1,54794.79,93536.54,14538267.98,1005097.505,96877.77,99744892,51362.27,194845.5,127667588.2,716731.55,4261.455,2919802.3,38652.59,4411.2223,289136.94,291772,14287396,2228400.48,1206935.198,20643779.2,22457.12,323727.3,53666730.4,574590.842,1444917.422,1620977.671,47158906.9,2713048,99747111.8,1082835.06,284911.1,9047.579,7083398.965,2588090,5961.889,2742053.99,30861.92,3085957.952,1720669.9,7611144.18,1496745.03,26011839.1,3698429
212,202,S,3,18628182,238305.71,6031.438,91362.67,31242.813,19846.892,53470.313,161032834.4,819923.5,6275317.6,53788.94,101040.95,27783749.14,1090591.698,115483.7,100364168,86859.2,741696.9,165364270.5,1201448.28,4939.836,1680730.5,40222.566,6372.1238,589892.36,324697.238,14134799,2407555.49,989836.882,26092853.1,25287.75,423642.4,71097495,768486.066,1706589.487,2778862.53,58982504,2547547,125187424.5,160494.61,301873.5,15549.129,7209327.016,3351920,4422.272,3145568.61,32782.5,6926527.977,1011510.7,11598205.88,1105345.95,27085473.8,3614419
213,203,S,3,18243074,243421.3,4067.966,87541.03,49366.12,9788.554,52425.629,135755025,865759.3,3918434.6,48662.41,77743.31,30616891.04,851533.963,167217.61,104336052,92894.05,195131.4,156922447.4,635989.92,4712.796,2379212.8,37254.55,4876.2417,275386.74,787367.345,15019151,2299944.54,1417494.64,21780246.2,21808.26,327321.7,68618718.3,476191.37,1440918.625,1690725.13,51679997.1,2656283,111737042.7,248761.33,351756.7,17881.579,4961902.863,4626373,10615.263,2485370.22,32001.54,6924141.327,1535716.6,9955699,1239043.39,28398113.6,3177946
215,204,S,3,17114165,298562.42,4059.37,98519.53,154692.614,17100.887,89842.355,154509973.4,771882.7,5266770.1,66057.03,84308.4,29083673.18,1147594.837,114400.86,98077474,60826.72,195262.4,150895670.3,775927.51,5081.665,3176577.5,25836.936,4367.2002,349770.37,394164.826,14400483,2727949.63,1307405.64,22942293.4,23949.76,342523.5,76640384.9,427740.456,2233510.994,2569416.129,57485413.3,2779083,112509391.1,1016167.72,310606.2,20704.969,4798005.688,3212006,4771.699,4152664.91,31287.79,4996118.791,1909641.3,10727962.12,1511179.36,32436355.8,3829700
Pool,205,QC,3,18698093,249909.28,4741.214,91685.49,90717.148,13584.043,41175.997,150363944.6,839789.4,4002622.3,77278.87,82178.98,27955187.34,1080151.745,132281.69,100989514,72579.76,306186.7,158629674.5,873881.5,5415.456,880938,37602.604,4503.2845,428351.04,311463.301,12758690,2671707.17,1160880.551,27101782.7,25928.73,346523.2,75835605.3,699879.172,1623290.542,2646816.28,57139220,2286052,116180754,603024.12,279297,16703.001,6298591.07,2492679,11352.781,2899101.68,31281.22,14925717.08,506741.4,11677001.95,1449607.13,31120610.9,3293501
205*,206,SR,3,18629594,274986.02,4871.722,89623.23,55943.529,14355.984,69451.161,146056259.4,742292.1,3934682.3,63444.04,103989.57,23810538.75,1214850.207,105824.77,102501375,68350.26,211890.1,140321848.4,583360.6,4602.312,2155728.8,109732.314,6647.2669,314280.89,64952.4,12769321,3591642.23,1266626.285,25400867.4,28136.67,435528.9,95478780.3,371036.542,1507296.955,2179481.586,52274531.8,2044423,121840093.3,188970.75,199277.9,11846.767,5090840.192,2796020,4537.81,2736009.86,32765.01,2922514.797,1443737.9,14366951.82,1386379.88,33788358.3,3735704
217,207,S,3,18671871,258456.95,6606.566,91125.1,43188.906,10442.287,47517.04,157866202.9,843706.8,3875503.5,70041.67,68580.83,28912555.29,991897.867,153851.4,107407181,79458.82,196832.9,145814985.4,742887.81,4260.833,2240147.2,8720.684,4024.4856,290701.39,360772.276,12823200,3483888.75,1152133.211,24748380.4,21394.43,417185.5,72295536.9,392736.24,1426337.286,1675938.427,49619213.8,2235339,110070692.6,528786.08,227738.4,20641.319,5744391.159,5082819,8466.881,2406563.44,29893.18,2910408.005,1388004.5,11045351.91,649222.71,29326637.2,3693162
